Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Length
99,5.1,2.5,3.0,1.1,Iris-versicolor,Large
100,5.7,2.8,4.1,1.3,Iris-versicolor,Large
101,6.3,3.3,6.0,2.5,Iris-virginica,Large
102,5.8,2.7,5.1,1.9,Iris-virginica,Large
103,7.1,3.0,5.9,2.1,Iris-virginica,Large
104,6.3,2.9,5.6,1.8,Iris-virginica,Large
105,6.5,3.0,5.8,2.2,Iris-virginica,Large
106,7.6,3.0,6.6,2.1,Iris-virginica,Large
107,4.9,2.5,4.5,1.7,Iris-virginica,Small
108,7.3,2.9,6.3,1.8,Iris-virginica,Large
109,6.7,2.5,5.8,1.8,Iris-virginica,Large
110,7.2,3.6,6.1,2.5,Iris-virginica,Large
111,6.5,3.2,5.1,2.0,Iris-virginica,Large
112,6.4,2.7,5.3,1.9,Iris-virginica,Large
113,6.8,3.0,5.5,2.1,Iris-virginica,Large
114,5.7,2.5,5.0,2.0,Iris-virginica,Large
115,5.8,2.8,5.1,2.4,Iris-virginica,Large
116,6.4,3.2,5.3,2.3,Iris-virginica,Large
117,6.5,3.0,5.5,1.8,Iris-virginica,Large
118,7.7,3.8,6.7,2.2,Iris-virginica,Large
119,7.7,2.6,6.9,2.3,Iris-virginica,Large
120,6.0,2.2,5.0,1.5,Iris-virginica,Large
121,6.9,3.2,5.7,2.3,Iris-virginica,Large
122,5.6,2.8,4.9,2.0,Iris-virginica,Large
123,7.7,2.8,6.7,2.0,Iris-virginica,Large
124,6.3,2.7,4.9,1.8,Iris-virginica,Large
125,6.7,3.3,5.7,2.1,Iris-virginica,Large
126,7.2,3.2,6.0,1.8,Iris-virginica,Large
127,6.2,2.8,4.8,1.8,Iris-virginica,Large
128,6.1,3.0,4.9,1.8,Iris-virginica,Large
129,6.4,2.8,5.6,2.1,Iris-virginica,Large
130,7.2,3.0,5.8,1.6,Iris-virginica,Large
131,7.4,2.8,6.1,1.9,Iris-virginica,Large
132,7.9,3.8,6.4,2.0,Iris-virginica,Large
133,6.4,2.8,5.6,2.2,Iris-virginica,Large
134,6.3,2.8,5.1,1.5,Iris-virginica,Large
135,6.1,2.6,5.6,1.4,Iris-virginica,Large
136,7.7,3.0,6.1,2.3,Iris-virginica,Large
137,6.3,3.4,5.6,2.4,Iris-virginica,Large
138,6.4,3.1,5.5,1.8,Iris-virginica,Large
139,6.0,3.0,4.8,1.8,Iris-virginica,Large
140,6.9,3.1,5.4,2.1,Iris-virginica,Large
141,6.7,3.1,5.6,2.4,Iris-virginica,Large
142,6.9,3.1,5.1,2.3,Iris-virginica,Large
143,5.8,2.7,5.1,1.9,Iris-virginica,Large
144,6.8,3.2,5.9,2.3,Iris-virginica,Large
145,6.7,3.3,5.7,2.5,Iris-virginica,Large
146,6.7,3.0,5.2,2.3,Iris-virginica,Large
147,6.3,2.5,5.0,1.9,Iris-virginica,Large
148,6.5,3.0,5.2,2.0,Iris-virginica,Large
149,6.2,3.4,5.4,2.3,Iris-virginica,Large
150,5.9,3.0,5.1,1.8,Iris-virginica,Large
